product_name,price,image_url,video_url
FRICTION DEFENDER WITH LIGHT & MUSIC,₹490,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OR0WpLGvcrbbcIZLRzc.jpg,
FRICTION G-WAGON CAR,₹490,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OR0RMA1DqOxEJAbT5oJ.jpg,
B/O PANDA WITH LIGHT & SOUND,₹295,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OQgWcJlC5-1DscHGe8b.jpg,
HOPSCOTCH GAME,₹400,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OQbrv9ec0FVAX5YE9QZ.jpg,
ENGLISH LEARNING LAPTOP,₹520,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OQbOiDeZA-zyOymWVqQ.jpg,
GY8178 GUITAR,₹540,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoPpX12_fcOQk3y1Wob.jpg,
HE 801 WALKER,₹950,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoPo1ra3ayS7B_aIe0V.jpg,
TB028 Toy boi PLAY GYM,₹650,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoPn737R_qpT4A9uicN.jpg,
103 B/O CERAMIC PAINTING POTTERY WHEEL WITH STAND,₹570,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoPisMACunRtStyFSHw.jpg,
KIDS PHONE,₹800,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OoA59UL642kCtbhcBE_.jpg,
2024/1/4/5/8 MOTOR CYCLE DIE CAST,₹620,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Oo-1X-q41Mrjjot9cwI.jpg,
Karaoke Mic High Quality,₹750,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OnryUTZ6Coy7eB5kc3k.jpg,
660-S122 COLOUR CHANGING WASHING TRACK,₹600,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Onry4jsSX3Mzu4exS20.jpg,
GYRO FORCE,₹600,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Onry4jmo5p14dRZFtGw.jpg,
1901 -381 A CLASSIC DIE CAST,₹880,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Onfr1wKCYCRfoHvGB_A.jpg,
SR-2413 DIE CAST METAL,₹880,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Onfr14j8ONYwJdAIPvx.jpg,
SR-2408 RANGE ROVER DIE CAST,₹880,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Onfr14ipXoILAeT9WeW.jpg,
